region,year,type,value
CAN_MACK,2005,GL,26636.86735864492
CAN_MACK,2005,CL,3262.8321246452115
CAN_MACK,2050,FRS,147851.5317655762
CAN_MACK,2050,GL,26658.08039484141
CAN_MACK,2050,CL,3524.364149092201
CAN_MACK,2100,FRS,148718.96710367405
CAN_MACK,2100,GL,26714.84930756082
CAN_MACK,2100,CL,3540.359583397204
CAN_NWTT,2005,FRS,42635.31729739361
CAN_NWTT,2005,GL,204316.8915607117
CAN_NWTT,2005,CL,680.3386040784981
CAN_NWTT,2050,FRS,42420.48346709642
CAN_NWTT,2050,GL,204379.53828716223
CAN_NWTT,2050,CL,810.7384623855318
CAN_NWTT,2100,FRS,42594.55576891287
CAN_NWTT,2100,GL,204334.6275001624
CAN_NWTT,2100,CL,831.5298385974013
CAN_PACA,2005,FRS,44940.88086794908
CAN_PACA,2005,GL,15078.197929262062
CAN_PACA,2050,FRS,44927.87562591391
CAN_PACA,2050,GL,15072.817884886575
CAN_PACA,2100,FRS,44905.60049423897
CAN_PACA,2100,GL,15064.254298395974
CAN_SNEL,2005,FRS,43144.26952262262
CAN_SNEL,2005,GL,7085.180537536719
CAN_SNEL,2005,CL,35004.34366186046
CAN_SNEL,2050,FRS,39672.02298613428
CAN_SNEL,2050,GL,15947.896574068993
CAN_SNEL,2050,CL,35791.61695421796
CAN_SNEL,2100,FRS,37367.9041693348
CAN_SNEL,2100,GL,18262.260284221447
CAN_SNEL,2100,CL,41085.182403603074
CAN_STLA,2005,FRS,56723.87458070641
CAN_STLA,2005,GL,3172.8123076454376
CAN_STLA,2005,CL,4390.601965662386
CAN_STLA,2050,FRS,55683.01873782707
CAN_STLA,2050,GL,3350.27823371358
CAN_STLA,2050,CL,5459.503248795488
CAN_STLA,2100,FRS,56048.54043955492
CAN_STLA,2100,GL,3446.0039574222387
