RISO,G,Text
DZA,88908,c_bool(False)
DZA,88909,c_bool(False)
DZA,88910,c_bool(False)
DZA,88911,c_bool(False)
DZA,88912,c_bool(False)
DZA,88913,c_bool(False)
DZA,88914,c_bool(False)
DZA,88915,c_bool(False)
DZA,88916,c_bool(False)
DZA,88917,c_bool(False)
DZA,88918,c_bool(False)
DZA,88919,c_bool(False)
DZA,88920,c_bool(False)
DZA,88921,c_bool(False)
DZA,88922,c_bool(False)
DZA,88923,c_bool(False)
DZA,88924,c_bool(False)
DZA,88925,c_bool(False)
DZA,88926,c_bool(False)
DZA,88927,c_bool(False)
DZA,88928,c_bool(False)
DZA,88929,c_bool(False)
DZA,88930,c_bool(False)
DZA,88931,c_bool(False)
DZA,88932,c_bool(False)
DZA,88933,c_bool(False)
DZA,88934,c_bool(False)
DZA,88935,c_bool(False)
DZA,88936,c_bool(False)
DZA,88937,c_bool(False)
DZA,88938,c_bool(False)
DZA,88939,c_bool(False)
DZA,88940,c_bool(False)
DZA,89623,c_bool(False)
DZA,89624,c_bool(False)
DZA,89625,c_bool(False)
DZA,89626,c_bool(False)
DZA,89627,c_bool(False)
DZA,89628,c_bool(False)
DZA,89629,c_bool(False)
DZA,89630,c_bool(False)
DZA,89631,c_bool(False)
DZA,89632,c_bool(False)
DZA,89633,c_bool(False)
DZA,89634,c_bool(False)
DZA,89635,c_bool(False)
DZA,89636,c_bool(False)
DZA,89637,c_bool(False)
DZA,89638,c_bool(False)
DZA,89639,c_bool(False)
DZA,89640,c_bool(False)
DZA,89641,c_bool(False)
DZA,89642,c_bool(False)
DZA,89643,c_bool(False)
DZA,89644,c_bool(False)
DZA,89645,c_bool(False)
DZA,89646,c_bool(False)
DZA,89647,c_bool(False)
DZA,89648,c_bool(False)
DZA,89649,c_bool(False)
DZA,89650,c_bool(False)
DZA,89651,c_bool(False)
DZA,89652,c_bool(False)
DZA,89653,c_bool(False)
DZA,89654,c_bool(False)
DZA,89655,c_bool(False)
DZA,89656,c_bool(False)
DZA,89657,c_bool(False)
DZA,89658,c_bool(False)
DZA,89659,c_bool(False)
DZA,89660,c_bool(False)
DZA,90343,c_bool(False)
DZA,90344,c_bool(False)
DZA,90345,c_bool(False)
DZA,90346,c_bool(False)
DZA,90347,c_bool(False)
DZA,90348,c_bool(False)
DZA,90349,c_bool(False)
DZA,90350,c_bool(False)
DZA,90351,c_bool(False)
DZA,90352,c_bool(False)
DZA,90353,c_bool(False)
DZA,90354,c_bool(False)
DZA,90355,c_bool(False)
DZA,90356,c_bool(False)
DZA,90357,c_bool(False)
DZA,90358,c_bool(False)
DZA,90359,c_bool(False)
DZA,90360,c_bool(False)
DZA,90361,c_bool(False)
DZA,90362,c_bool(False)
DZA,90363,c_bool(False)
