basin,year,land,Value
XE25,2089,OTH_A,19.064
XE25,2089,CEREAL,5.990
XE25,2090,CROP_FLW,5.845
XE25,2090,PDR,6.165
XE25,2090,WHT,6.143
XE25,2090,GRO,5.781
XE25,2090,OSD,2.652
XE25,2090,C_B,139.187
XE25,2090,OTH_A,19.091
XE25,2090,CEREAL,5.995
XE25,2091,CROP_FLW,5.853
XE25,2091,PDR,6.168
XE25,2091,WHT,6.144
XE25,2091,GRO,5.789
XE25,2091,OSD,2.651
XE25,2091,C_B,139.356
XE25,2091,OTH_A,19.102
XE25,2091,CEREAL,5.999
XE25,2092,CROP_FLW,5.860
XE25,2092,PDR,6.171
XE25,2092,WHT,6.144
XE25,2092,GRO,5.797
XE25,2092,OSD,2.650
XE25,2092,C_B,139.524
XE25,2092,OTH_A,19.114
XE25,2092,CEREAL,6.003
XE25,2093,CROP_FLW,5.868
XE25,2093,PDR,6.175
XE25,2093,WHT,6.144
XE25,2093,GRO,5.806
XE25,2093,OSD,2.649
XE25,2093,C_B,139.693
XE25,2093,OTH_A,19.126
XE25,2093,CEREAL,6.006
XE25,2094,CROP_FLW,5.875
XE25,2094,PDR,6.178
XE25,2094,WHT,6.144
XE25,2094,GRO,5.814
XE25,2094,OSD,2.649
XE25,2094,C_B,139.863
XE25,2094,OTH_A,19.137
XE25,2094,CEREAL,6.010
XE25,2095,CROP_FLW,5.883
XE25,2095,PDR,6.181
XE25,2095,WHT,6.144
XE25,2095,GRO,5.822
XE25,2095,OSD,2.648
XE25,2095,C_B,140.032
XE25,2095,OTH_A,19.149
XE25,2095,CEREAL,6.014
XE25,2096,CROP_FLW,5.891
XE25,2096,PDR,6.185
XE25,2096,WHT,6.144
XE25,2096,GRO,5.830
XE25,2096,OSD,2.647
XE25,2096,C_B,140.202
XE25,2096,OTH_A,19.160
XE25,2096,CEREAL,6.018
XE25,2097,CROP_FLW,5.898
XE25,2097,PDR,6.188
XE25,2097,WHT,6.144
XE25,2097,GRO,5.839
XE25,2097,OSD,2.647
XE25,2097,C_B,140.372
XE25,2097,OTH_A,19.172
XE25,2097,CEREAL,6.022
XE25,2098,CROP_FLW,5.906
XE25,2098,PDR,6.191
XE25,2098,WHT,6.145
XE25,2098,GRO,5.847
XE25,2098,OSD,2.646
XE25,2098,C_B,140.542
XE25,2098,OTH_A,19.184
XE25,2098,CEREAL,6.026
XE25,2099,CROP_FLW,5.913
XE25,2099,PDR,6.195
XE25,2099,WHT,6.145
XE25,2099,GRO,5.855
XE25,2099,OSD,2.645
XE25,2099,C_B,140.712
XE25,2099,OTH_A,19.195
XE25,2099,CEREAL,6.030
XE25,2100,CROP_FLW,5.921
XE25,2100,PDR,6.198
XE25,2100,WHT,6.145
XE25,2100,GRO,5.864
XE25,2100,OSD,2.644
XE25,2100,C_B,140.882
XE25,2100,OTH_A,19.207
XE25,2100,CEREAL,6.034
XER,2005,CROP_FLW,4.408
XER,2005,PDR,9.602
XER,2005,WHT,1.967
XER,2005,GRO,2.681
XER,2005,OSD,1.272
XER,2005,C_B,9.875
XER,2005,OTH_A,0.515
XER,2005,CEREAL,2.389
XER,2006,CROP_FLW,4.411
XER,2006,PDR,10.026
XER,2006,WHT,1.975
XER,2006,GRO,2.722
XER,2006,OSD,1.287
XER,2006,C_B,10.803
XER,2006,OTH_A,0.522
XER,2006,CEREAL,2.426
XER,2007,CROP_FLW,4.415
XER,2007,PDR,10.468
XER,2007,WHT,1.983
XER,2007,GRO,2.764
XER,2007,OSD,1.302
XER,2007,C_B,11.819
XER,2007,OTH_A,0.529
XER,2007,CEREAL,2.463
XER,2008,CROP_FLW,4.418
XER,2008,PDR,10.930
XER,2008,WHT,1.991
XER,2008,GRO,2.807
XER,2008,OSD,1.317
XER,2008,C_B,12.930
XER,2008,OTH_A,0.536
XER,2008,CEREAL,2.501
XER,2009,CROP_FLW,4.422
XER,2009,PDR,11.413
XER,2009,WHT,2.000
XER,2009,GRO,2.850
XER,2009,OSD,1.332
XER,2009,C_B,14.146
XER,2009,OTH_A,0.543
XER,2009,CEREAL,2.540
XER,2010,CROP_FLW,4.425
XER,2010,PDR,11.916
XER,2010,WHT,2.008
XER,2010,GRO,2.895
XER,2010,OSD,1.348
XER,2010,C_B,15.476
XER,2010,OTH_A,0.550
XER,2010,CEREAL,2.579
XER,2011,CROP_FLW,4.425
XER,2011,PDR,11.925
XER,2011,WHT,2.010
XER,2011,GRO,2.902
XER,2011,OSD,1.344
XER,2011,C_B,15.726
XER,2011,OTH_A,0.557
XER,2011,CEREAL,2.584
XER,2012,CROP_FLW,4.424
XER,2012,PDR,11.934
XER,2012,WHT,2.012
XER,2012,GRO,2.909
XER,2012,OSD,1.340
XER,2012,C_B,15.981
XER,2012,OTH_A,0.565
XER,2012,CEREAL,2.589
XER,2013,CROP_FLW,4.423
XER,2013,PDR,11.942
XER,2013,WHT,2.014
XER,2013,GRO,2.917
XER,2013,OSD,1.336
XER,2013,C_B,16.239
XER,2013,OTH_A,0.573
XER,2013,CEREAL,2.593
XER,2014,CROP_FLW,4.422
XER,2014,PDR,11.951
XER,2014,WHT,2.015
XER,2014,GRO,2.924
XER,2014,OSD,1.332
XER,2014,C_B,16.502
XER,2014,OTH_A,0.580
XER,2014,CEREAL,2.598
XER,2015,CROP_FLW,4.422
XER,2015,PDR,11.959
XER,2015,WHT,2.017
XER,2015,GRO,2.932
XER,2015,OSD,1.328
XER,2015,C_B,16.769
XER,2015,OTH_A,0.588
XER,2015,CEREAL,2.603
XER,2016,CROP_FLW,4.421
XER,2016,PDR,11.968
XER,2016,WHT,2.019
XER,2016,GRO,2.939
XER,2016,OSD,1.325
XER,2016,C_B,17.041
XER,2016,OTH_A,0.596
XER,2016,CEREAL,2.608
XER,2017,CROP_FLW,4.420
XER,2017,PDR,11.976
XER,2017,WHT,2.021
XER,2017,GRO,2.947
XER,2017,OSD,1.321
XER,2017,C_B,17.316
XER,2017,OTH_A,0.604
XER,2017,CEREAL,2.613
XER,2018,CROP_FLW,4.420
XER,2018,PDR,11.985
XER,2018,WHT,2.023
XER,2018,GRO,2.954
XER,2018,OSD,1.317
XER,2018,C_B,17.596
