region_name,year,type,basin_value,region_value,diff_region-basin,area,diff/area
BGD_GABR,2050,CL,5628.848,5087.160,-541.688,11956.386298905489,-0.045
BGD_GABR,2050,FRS,1396.438,1200.614,-195.824,11956.386298905489,-0.016
BGD_GABR,2050,GL,145.712,430.994,285.282,11956.386298905489,0.024
BGD_GABR,2100,CL,5321.252,5634.707,313.455,11956.386298905489,0.026
BGD_GABR,2100,FRS,1538.669,900.490,-638.178,11956.386298905489,-0.053
BGD_GABR,2100,GL,169.387,150.447,-18.939,11956.386298905489,-0.002
BGR_AGBS,2005,CL,712.464,637.125,-75.338,6406.791139580745,-0.012
BGR_AGBS,2005,FRS,915.332,736.184,-179.147,6406.791139580745,-0.028
BGR_AGBS,2005,GL,458.784,453.976,-4.807,6406.791139580745,-0.001
BGR_AGBS,2050,CL,834.149,543.053,-291.096,6406.791139580745,-0.045
BGR_AGBS,2050,FRS,998.025,777.633,-220.391,6406.791139580745,-0.034
BGR_AGBS,2050,GL,264.777,355.158,90.382,6406.791139580745,0.014
BGR_AGBS,2100,CL,931.326,533.456,-397.871,6406.791139580745,-0.062
BGR_AGBS,2100,FRS,999.835,800.059,-199.776,6406.791139580745,-0.031
BGR_AGBS,2100,GL,141.610,280.531,138.920,6406.791139580745,0.022
BGR_DANU,2005,CL,769.664,808.901,39.237,4847.823440979712,0.008
BGR_DANU,2005,FRS,983.397,732.081,-251.316,4847.823440979712,-0.052
BGR_DANU,2005,GL,469.987,483.359,13.372,4847.823440979712,0.003
BGR_DANU,2050,CL,1348.204,845.543,-502.661,4847.823440979712,-0.104
BGR_DANU,2050,FRS,552.656,626.847,74.190,4847.823440979712,0.015
BGR_DANU,2050,GL,254.966,378.460,123.494,4847.823440979712,0.025
BGR_DANU,2100,CL,1574.363,845.829,-728.534,4847.823440979712,-0.150
BGR_DANU,2100,FRS,398.631,608.757,210.127,4847.823440979712,0.043
BGR_DANU,2100,GL,124.516,299.587,175.070,4847.823440979712,0.036
BHR_ARPA,2005,CL,0.000,0.000,0.000,56.35179308956917,0.000
BHR_ARPA,2005,FRS,0.000,0.000,0.000,56.35179308956917,0.000
BHR_ARPA,2005,GL,1.972,0.585,-1.387,56.35179308956917,-0.025
BHR_ARPA,2050,CL,0.000,0.000,0.000,56.35179308956917,0.000
BHR_ARPA,2050,FRS,0.000,0.000,0.000,56.35179308956917,0.000
BHR_ARPA,2050,GL,1.972,0.585,-1.387,56.35179308956917,-0.025
BHR_ARPA,2100,CL,0.000,0.000,0.000,56.35179308956917,0.000
BHR_ARPA,2100,FRS,0.000,0.000,0.000,56.35179308956917,0.000
BHR_ARPA,2100,GL,1.972,0.583,-1.389,56.35179308956917,-0.025
BHS_CARI,2005,CL,0.000,0.000,0.000,1167.4314142905978,0.000
BHS_CARI,2005,FRS,369.628,0.000,-369.628,1167.4314142905978,-0.317
BHS_CARI,2005,GL,0.722,2.114,1.392,1167.4314142905978,0.001
BHS_CARI,2050,CL,0.000,2.807,2.807,1167.4314142905978,0.002
BHS_CARI,2050,FRS,368.803,0.000,-368.803,1167.4314142905978,-0.316
BHS_CARI,2050,GL,0.856,2.114,1.258,1167.4314142905978,0.001
BHS_CARI,2100,CL,0.000,2.807,2.807,1167.4314142905978,0.002
BHS_CARI,2100,FRS,368.124,0.000,-368.124,1167.4314142905978,-0.315
BHS_CARI,2100,GL,0.652,1.758,1.106,1167.4314142905978,0.001
BIH_AGBS,2005,CL,18.425,29.547,11.123,1383.9241596099455,0.008
BIH_AGBS,2005,FRS,92.687,112.833,20.146,1383.9241596099455,0.015
BIH_AGBS,2005,GL,102.444,80.778,-21.666,1383.9241596099455,-0.016
BIH_AGBS,2050,CL,16.042,27.874,11.831,1383.9241596099455,0.009
BIH_AGBS,2050,FRS,144.297,126.724,-17.573,1383.9241596099455,-0.013
BIH_AGBS,2050,GL,44.406,63.247,18.841,1383.9241596099455,0.014
BIH_AGBS,2100,CL,15.913,21.121,5.208,1383.9241596099455,0.004
BIH_AGBS,2100,FRS,124.596,135.559,10.962,1383.9241596099455,0.008
BIH_AGBS,2100,GL,61.968,50.066,-11.902,1383.9241596099455,-0.009
BIH_DANU,2005,CL,232.342,147.014,-85.328,3787.098852842501,-0.023
BIH_DANU,2005,FRS,683.561,542.861,-140.700,3787.098852842501,-0.037
BIH_DANU,2005,GL,279.306,282.669,3.364,3787.098852842501,0.001
BIH_DANU,2050,CL,197.747,379.596,181.849,3787.098852842501,0.048
BIH_DANU,2050,FRS,712.110,490.474,-221.635,3787.098852842501,-0.059
BIH_DANU,2050,GL,319.362,221.324,-98.038,3787.098852842501,-0.026
BIH_DANU,2100,CL,126.046,389.298,263.252,3787.098852842501,0.070
BIH_DANU,2100,FRS,668.335,500.686,-167.649,3787.098852842501,-0.044
BIH_DANU,2100,GL,515.395,175.199,-340.196,3787.098852842501,-0.090
BLR_DAUG,2005,CL,213.913,226.898,12.985,3315.3440918251863,0.004
BLR_DAUG,2005,FRS,198.002,0.000,-198.002,3315.3440918251863,-0.060
BLR_DAUG,2005,GL,156.557,153.558,-2.998,3315.3440918251863,-0.001
BLR_DAUG,2050,CL,174.317,283.222,108.905,3315.3440918251863,0.033
BLR_DAUG,2050,FRS,235.904,0.000,-235.904,3315.3440918251863,-0.071
BLR_DAUG,2050,GL,108.789,145.705,36.916,3315.3440918251863,0.011
BLR_DAUG,2100,CL,239.421,400.503,161.081,3315.3440918251863,0.049
BLR_DAUG,2100,FRS,189.714,0.000,-189.714,3315.3440918251863,-0.057
BLR_DAUG,2100,GL,74.280,122.305,48.025,3315.3440918251863,0.014
BLR_DNIP,2005,CL,2193.130,2134.702,-58.428,11872.17640161054,-0.005
BLR_DNIP,2005,FRS,485.867,4508.479,4022.611,11872.17640161054,0.339
BLR_DNIP,2005,GL,1329.763,1237.142,-92.621,11872.17640161054,-0.008
BLR_DNIP,2050,CL,2635.847,2511.150,-124.698,11872.17640161054,-0.011
BLR_DNIP,2050,FRS,465.926,4243.157,3777.231,11872.17640161054,0.318
BLR_DNIP,2050,GL,827.881,1173.867,345.986,11872.17640161054,0.029
BLR_DNIP,2100,CL,5581.146,2976.360,-2604.786,11872.17640161054,-0.219
BLR_DNIP,2100,FRS,268.369,3972.596,3704.228,11872.17640161054,0.312
BLR_DNIP,2100,GL,225.785,980.048,754.264,11872.17640161054,0.064
BLR_NEMA,2005,CL,1199.317,1252.570,53.253,5474.735620188555,0.010
BLR_NEMA,2005,FRS,159.598,1733.849,1574.251,5474.735620188555,0.288
BLR_NEMA,2005,GL,636.585,633.857,-2.729,5474.735620188555,-0.000
BLR_NEMA,2050,CL,1476.477,1472.458,-4.019,5474.735620188555,-0.001
BLR_NEMA,2050,FRS,104.673,1566.994,1462.321,5474.735620188555,0.267
BLR_NEMA,2050,GL,422.675,601.438,178.762,5474.735620188555,0.033
BLR_NEMA,2100,CL,2741.437,1666.427,-1075.010,5474.735620188555,-0.196
BLR_NEMA,2100,FRS,22.543,1455.718,1433.175,5474.735620188555,0.262
BLR_NEMA,2100,GL,256.372,498.559,242.187,5474.735620188555,0.044
BLZ_YUPA,2005,CL,40.095,25.358,-14.737,2212.9846978599844,-0.007
BLZ_YUPA,2005,FRS,914.716,1071.384,156.667,2212.9846978599844,0.071
BLZ_YUPA,2005,GL,17.550,24.786,7.237,2212.9846978599844,0.003
BLZ_YUPA,2050,CL,55.163,31.269,-23.894,2212.9846978599844,-0.011
BLZ_YUPA,2050,FRS,894.941,1060.991,166.050,2212.9846978599844,0.075
BLZ_YUPA,2050,GL,19.607,29.473,9.867,2212.9846978599844,0.004
BLZ_YUPA,2100,CL,58.566,42.526,-16.040,2212.9846978599844,-0.007
BLZ_YUPA,2100,FRS,895.123,1051.805,156.682,2212.9846978599844,0.071
BLZ_YUPA,2100,GL,10.065,24.489,14.424,2212.9846978599844,0.007
BOL_AMAZ,2005,CL,1457.808,1448.758,-9.051,71622.44470021734,-0.000
BOL_AMAZ,2005,FRS,28639.272,16366.225,-12273.047,71622.44470021734,-0.171
BOL_AMAZ,2005,GL,10494.584,11412.907,918.323,71622.44470021734,0.013
BOL_AMAZ,2050,CL,2809.014,4500.543,1691.529,71622.44470021734,0.024
BOL_AMAZ,2050,FRS,24528.945,14931.263,-9597.682,71622.44470021734,-0.134
BOL_AMAZ,2050,GL,16062.512,14054.075,-2008.437,71622.44470021734,-0.028
BOL_AMAZ,2100,CL,3500.691,5243.561,1742.870,71622.44470021734,0.024
BOL_AMAZ,2100,FRS,30842.634,15389.296,-15453.338,71622.44470021734,-0.216
BOL_AMAZ,2100,GL,4481.376,11677.686,7196.310,71622.44470021734,0.100
BOL_LAPL,2005,CL,335.180,939.870,604.690,22133.395153249967,0.027
